,Arousal,Compound,Dominance,Flair,POS nlkt,POS spcy,POS stza,Stanza,Subjectivity,Valence,category,word
13351,0.43,0.0,0.55,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.94,pos hp,health
13352,0.39,0.0,0.63,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.78,pos hp,healthcare
13353,0.32,0.0,0.77,POSITIVE,NOUN,ADJ,ADJ,2.0,0.0,0.93,pos hp,healthful
13354,0.32,0.4,0.82,POSITIVE,ADJ,ADJ,ADJ,2.0,0.5,0.94,pos hp,healthy
13355,0.49,0.0,0.59,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.67,pos hp,hearing
13356,0.5,0.0,0.69,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.83,pos hp,heart
13357,0.41,0.0,0.81,POSITIVE,VERB,PROPN,ADJ,2.0,0.0,0.82,pos hp,hearted
13358,0.44,0.54,0.54,POSITIVE,NOUN,PROPN,ADJ,2.0,1.0,0.9,pos hp,heartfelt
13359,0.28,0.0,0.54,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.76,pos hp,hearth
13360,0.49,0.0,0.54,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.65,pos hp,heating
13361,0.39,0.51,0.6,POSITIVE,NOUN,PROPN,PROPN,2.0,0.0,0.9,pos hp,heaven
13362,0.45,0.61,0.71,POSITIVE,ADV,ADV,ADJ,2.0,0.0,0.84,pos hp,heavenly
13363,0.27,0.4,0.68,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.81,pos hp,heavens
13364,0.38,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.68,pos hp,heirloom
13365,0.46,0.0,0.51,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.52,pos hp,helix
13366,0.45,0.0,0.61,POSITIVE,NOUN,NOUN,PROPN,1.0,0.0,0.51,pos hp,helm
13367,0.44,0.34,0.57,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.7,pos hp,helper
13368,0.34,0.42,0.7,POSITIVE,NOUN,ADJ,ADJ,2.0,0.0,0.82,pos hp,helpful
13369,0.37,0.0,0.6,POSITIVE,ADV,PROPN,NOUN,1.0,0.0,0.53,pos hp,hemisphere
13370,0.38,0.0,0.5,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.64,pos hp,herald
13371,0.48,0.0,0.61,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.61,pos hp,highland
13372,0.43,0.0,0.6,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.73,pos hp,highlands
13373,0.44,0.0,0.54,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.61,pos hp,hike
13374,0.48,0.0,0.57,POSITIVE,NOUN,NOUN,NOUN,2.0,0.0,0.74,pos hp,hilarity
13375,0.35,0.0,0.52,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.61,pos hp,hill
13376,0.48,0.0,0.6,NEGATIVE,ADV,ADV,ADJ,0.0,0.0,0.64,pos hp,hilly
13377,0.33,0.0,0.52,POSITIVE,NOUN,PROPN,NOUN,2.0,0.0,0.6,pos hp,hint
13378,0.47,0.0,0.61,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.54,pos hp,hippopotamus
13379,0.27,0.0,0.64,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.69,pos hp,historian
13380,0.47,0.0,0.78,POSITIVE,NOUN,ADJ,ADJ,2.0,0.0,0.82,pos hp,historic
13381,0.36,0.0,0.83,POSITIVE,ADJ,ADJ,ADJ,1.0,0.0,0.65,pos hp,historical
13382,0.41,0.0,0.63,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.56,pos hp,historiography
